Region: Ilessan Hills
B0000000.RDB,   X:0, Z:-2
W0000012.RDB,   X:0, Z:-1
N0000076.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:-1
B0000010.RDB,   X:1, Z:0

Dungeon: Mooring's Hold
Type: Prison
Total Size: 10
B0000002.RDB,   X:-1, Z:-1
B0000007.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-2
N0000050.RDB,   X:0, Z:-1
W0000028.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:-2
W0000017.RDB,   X:1, Z:-1
B0000012.RDB,   X:1, Z:0
B0000010.RDB,   X:2, Z:-1

Dungeon: Yagphang
Type: Giant Stronghold
Total Size: 8
B0000008.RDB,   X:-2, Z:0
B0000004.RDB,   X:-1, Z:-1
W0000011.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-1
N0000070.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:0

Dungeon: Ruins of Tower Yeomham
Type: Spider Nest
Total Size: 10
B0000001.RDB,   X:-2, Z:1
B0000003.RDB,   X:-1, Z:0
N0000035.RDB,   X:-1, Z:1
B0000014.RDB,   X:-1, Z:2
B0000004.RDB,   X:0, Z:-1
N0000026.RDB,   X:0, Z:0
N0000087.RDB,   X:0, Z:1
B0000012.RDB,   X:0, Z:2
B0000014.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1

Dungeon: The Hawksmith Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000000.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: Ruins of Ashhart's Guard
Type: Crypt
Total Size: 8
B0000011.RDB,   X:-2, Z:0
B0000012.RDB,   X:-1, Z:-1
N0000035.RDB,   X:-1, Z:0
B0000007.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-1
N0000063.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: The Fortress of Ashhouse
Type: Laboratory
Total Size: 8
B0000006.RDB,   X:-1, Z:-1
B0000000.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-2
N0000039.RDB,   X:0, Z:-1
N0000063.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-1
B0000012.RDB,   X:1, Z:0

Dungeon: Ruins of The Old Moorsly Hovel
Type: Vampire Haunt
Total Size: 14
B0000002.RDB,   X:-1, Z:-2
B0000009.RDB,   X:-1, Z:-1
B0000003.RDB,   X:-1, Z:0
B0000005.RDB,   X:-1, Z:1
B0000000.RDB,   X:0, Z:-3
N0000042.RDB,   X:0, Z:-2
N0000064.RDB,   X:0, Z:-1
N0000032.RDB,   X:0, Z:0
W0000009.RDB,   X:0, Z:1
B0000006.RDB,   X:0, Z:2
B0000011.RDB,   X:1, Z:-2
B0000014.RDB,   X:1, Z:-1
B0000001.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1

Dungeon: The Graves of Copperston
Type: Forgotten Cemetery
Total Size: 5
B0000002.RDB,   X:-1, Z:0
B0000011.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:0

Dungeon: Ruins of Old Elyzara's Place
Type: Desecrated Temple
Total Size: 12
B0000006.RDB,   X:-2, Z:-2
B0000002.RDB,   X:-2, Z:-1
B0000009.RDB,   X:-1, Z:-3
W0000008.RDB,   X:-1, Z:-2
W0000008.RDB,   X:-1, Z:-1
B0000012.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-2
W0000017.RDB,   X:0, Z:-1
N0000059.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-1
B0000013.RDB,   X:1, Z:0

Dungeon: Ruins of Greenham Manor
Type: Spider Nest
Total Size: 10
B0000002.RDB,   X:-1, Z:-1
B0000000.RDB,   X:-1, Z:0
B0000012.RDB,   X:0, Z:-2
N0000081.RDB,   X:0, Z:-1
N0000061.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:-2
W0000001.RDB,   X:1, Z:-1
B0000012.RDB,   X:1, Z:0
B0000000.RDB,   X:2, Z:-1

Dungeon: The Fortress of Gaersley
Type: Vampire Haunt
Total Size: 10
B0000002.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
W0000015.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:-1
N0000050.RDB,   X:1, Z:0
N0000082.RDB,   X:1, Z:1
B0000004.RDB,   X:1, Z:2
B0000004.RDB,   X:2, Z:0
B0000009.RDB,   X:2, Z:1

Dungeon: The Hold of Gaercroft
Type: Vampire Haunt
Total Size: 14
B0000000.RDB,   X:-3, Z:0
B0000011.RDB,   X:-2, Z:-1
N0000083.RDB,   X:-2, Z:0
B0000012.RDB,   X:-2, Z:1
B0000009.RDB,   X:-1, Z:-1
N0000067.RDB,   X:-1, Z:0
B0000004.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-1
W0000029.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:-1
N0000085.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000009.RDB,   X:2, Z:0

Dungeon: Ruins of The Old Moorwing Shack
Type: Barbarian Stronghold
Total Size: 13
B0000003.RDB,   X:-2, Z:-2
B0000004.RDB,   X:-2, Z:-1
B0000003.RDB,   X:-2, Z:0
B0000007.RDB,   X:-1, Z:-3
W0000023.RDB,   X:-1, Z:-2
N0000017.RDB,   X:-1, Z:-1
W0000018.RDB,   X:-1, Z:0
B0000014.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-2
B0000003.RDB,   X:0, Z:-1
W0000021.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:0

Dungeon: Ruins of Moorsmith Palace
Type: Giant Stronghold
Total Size: 12
B0000001.RDB,   X:-1, Z:-1
B0000005.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-2
W0000025.RDB,   X:0, Z:-1
N0000086.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-3
N0000083.RDB,   X:1, Z:-2
W0000000.RDB,   X:1, Z:-1
B0000000.RDB,   X:1, Z:0
B0000011.RDB,   X:2, Z:-2
B0000013.RDB,   X:2, Z:-1

Dungeon: The Elolda Coven
Type: Coven
Total Size: 13
B0000011.RDB,   X:-3, Z:0
B0000009.RDB,   X:-3, Z:1
B0000011.RDB,   X:-2, Z:-1
N0000005.RDB,   X:-2, Z:0
N0000038.RDB,   X:-2, Z:1
B0000012.RDB,   X:-2, Z:2
B0000005.RDB,   X:-1, Z:-1
N0000002.RDB,   X:-1, Z:0
B0000007.RDB,   X:-1, Z:1
B0000000.RDB,   X:0, Z:-1
W0000017.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: The Masoleum of Vladenan
Type: Crypt
Total Size: 12
B0000007.RDB,   X:-1, Z:-1
B0000001.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-2
W0000018.RDB,   X:0, Z:-1
W0000029.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-3
N0000029.RDB,   X:1, Z:-2
W0000014.RDB,   X:1, Z:-1
B0000004.RDB,   X:1, Z:0
B0000012.RDB,   X:2, Z:-2
B0000014.RDB,   X:2, Z:-1

Dungeon: Castle Yeomston
Type: Orc Stronghold
Total Size: 13
B0000007.RDB,   X:-1, Z:-2
B0000005.RDB,   X:-1, Z:-1
B0000003.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-3
W0000003.RDB,   X:0, Z:-2
W0000020.RDB,   X:0, Z:-1
N0000089.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:-3
N0000034.RDB,   X:1, Z:-2
B0000007.RDB,   X:1, Z:-1
B0000005.RDB,   X:1, Z:0
B0000007.RDB,   X:2, Z:-2

Dungeon: Ruins of Tower Hawkford
Type: Coven
Total Size: 8
B0000004.RDB,   X:-2, Z:0
B0000005.RDB,   X:-1, Z:-1
W0000007.RDB,   X:-1, Z:0
B0000012.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-1
W0000007.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:0

Dungeon: Ruins of The Old Wicking Hovel
Type: Crypt
Total Size: 13
B0000009.RDB,   X:-2, Z:-2
B0000001.RDB,   X:-1, Z:-3
N0000079.RDB,   X:-1, Z:-2
B0000013.RDB,   X:-1, Z:-1
B0000008.RDB,   X:-1, Z:0
B0000011.RDB,   X:0, Z:-3
N0000023.RDB,   X:0, Z:-2
N0000034.RDB,   X:0, Z:-1
N0000008.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:-2
B0000002.RDB,   X:1, Z:-1
B0000004.RDB,   X:1, Z:0

Dungeon: The Buckinghart Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000007.RDB,   X:-1, Z:0
B0000012.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: Ruins of The Gaersley Farmstead
Type: Ruined Castle
Total Size: 8
B0000002.RDB,   X:-2, Z:0
B0000000.RDB,   X:-1, Z:-1
N0000001.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-1
N0000020.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: Ruins of The Yeomsly Farmstead
Type: Natural Cave
Total Size: 8
B0000009.RDB,   X:-2, Z:0
B0000005.RDB,   X:-1, Z:-1
W0000028.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000004.RDB,   X:0, Z:-1
N0000037.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:0

Dungeon: The Jubiblex Hermitage
Type: Desecrated Temple
Total Size: 13
B0000007.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-2
B0000005.RDB,   X:0, Z:-1
N0000091.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-3
N0000089.RDB,   X:1, Z:-2
N0000048.RDB,   X:1, Z:-1
W0000027.RDB,   X:1, Z:0
B0000012.RDB,   X:1, Z:1
B0000006.RDB,   X:2, Z:-2
B0000000.RDB,   X:2, Z:-1
B0000005.RDB,   X:2, Z:0

Dungeon: Ruins of Greencroft Orchard
Type: Prison
Total Size: 8
B0000010.RDB,   X:-1, Z:-1
B0000009.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-2
N0000032.RDB,   X:0, Z:-1
N0000020.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-1
B0000006.RDB,   X:1, Z:0

Dungeon: Nordred
Type: Giant Stronghold
Total Size: 8
B0000004.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-1
N0000074.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-1
N0000008.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1
B0000004.RDB,   X:2, Z:0

Dungeon: The Stronghold of Copperston
Type: Crypt
Total Size: 10
B0000012.RDB,   X:-2, Z:0
B0000004.RDB,   X:-1, Z:-1
W0000026.RDB,   X:-1, Z:0
B0000007.RDB,   X:-1, Z:1
B0000004.RDB,   X:0, Z:-2
N0000025.RDB,   X:0, Z:-1
N0000063.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-1
B0000004.RDB,   X:1, Z:0

Dungeon: The Carolanna Cabal
Type: Coven
Total Size: 8
B0000005.RDB,   X:-2, Z:0
B0000000.RDB,   X:-1, Z:-1
N0000002.RDB,   X:-1, Z:0
B0000002.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-1
N0000036.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:0

Dungeon: Ruins of Buckingwing Manor
Type: Crypt
Total Size: 13
B0000004.RDB,   X:-2, Z:-2
B0000010.RDB,   X:-2, Z:-1
B0000010.RDB,   X:-2, Z:0
B0000012.RDB,   X:-1, Z:-3
N0000088.RDB,   X:-1, Z:-2
W0000013.RDB,   X:-1, Z:-1
N0000075.RDB,   X:-1, Z:0
B0000009.RDB,   X:-1, Z:1
B0000014.RDB,   X:0, Z:-2
B0000006.RDB,   X:0, Z:-1
W0000015.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:0

Dungeon: Helerthrac
Type: Giant Stronghold
Total Size: 10
B0000005.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
N0000018.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-1
N0000050.RDB,   X:1, Z:0
N0000087.RDB,   X:1, Z:1
B0000003.RDB,   X:1, Z:2
B0000011.RDB,   X:2, Z:0
B0000000.RDB,   X:2, Z:1

Dungeon: The Cult of Ysanna
Type: Coven
Total Size: 13
B0000013.RDB,   X:-2, Z:0
B0000005.RDB,   X:-1, Z:-1
N0000057.RDB,   X:-1, Z:0
B0000003.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-1
N0000072.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:-1
N0000034.RDB,   X:1, Z:0
N0000038.RDB,   X:1, Z:1
B0000013.RDB,   X:1, Z:2
B0000014.RDB,   X:2, Z:0
B0000009.RDB,   X:2, Z:1

Dungeon: The Yeomfield Burial Ground
Type: Forgotten Cemetery
Total Size: 5
B0000003.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-1
M0000002.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:0

Dungeon: Ruins of Wicksly Hall
Type: Coven
Total Size: 8
B0000014.RDB,   X:-1, Z:-1
B0000005.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-2
N0000050.RDB,   X:0, Z:-1
N0000088.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0

Dungeon: Ruins of The Wickford Farmstead
Type: Natural Cave
Total Size: 10
B0000005.RDB,   X:-2, Z:0
B0000010.RDB,   X:-2, Z:1
B0000003.RDB,   X:-1, Z:-1
N0000041.RDB,   X:-1, Z:0
N0000031.RDB,   X:-1, Z:1
B0000005.RDB,   X:-1, Z:2
B0000002.RDB,   X:0, Z:-1
W0000027.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:0

Dungeon: The Copperfield Burial Ground
Type: Forgotten Cemetery
Total Size: 5
B0000009.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
M0000001.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:0

Dungeon: The Masterhart Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000010.RDB,   X:-1, Z:0
B0000011.RDB,   X:0, Z:-1
M0000005.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:0

Dungeon: The Masoleum of Inverivaran
Type: Crypt
Total Size: 8
B0000000.RDB,   X:-1, Z:0
B0000004.RDB,   X:-1, Z:1
B0000009.RDB,   X:0, Z:-1
N0000010.RDB,   X:0, Z:0
N0000010.RDB,   X:0, Z:1
B0000007.RDB,   X:0, Z:2
B0000007.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1

Dungeon: The Fortress of Woodsly
Type: Coven
Total Size: 12
B0000004.RDB,   X:-2, Z:0
B0000003.RDB,   X:-2, Z:1
B0000005.RDB,   X:-1, Z:-1
N0000017.RDB,   X:-1, Z:0
N0000085.RDB,   X:-1, Z:1
B0000002.RDB,   X:-1, Z:2
B0000008.RDB,   X:0, Z:-1
W0000016.RDB,   X:0, Z:0
N0000049.RDB,   X:0, Z:1
B0000001.RDB,   X:0, Z:2
B0000001.RDB,   X:1, Z:0
B0000003.RDB,   X:1, Z:1

Dungeon: Yeker
Type: Orc Stronghold
Total Size: 13
B0000006.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-2
B0000011.RDB,   X:0, Z:-1
W0000024.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-3
W0000007.RDB,   X:1, Z:-2
N0000007.RDB,   X:1, Z:-1
W0000022.RDB,   X:1, Z:0
B0000006.RDB,   X:1, Z:1
B0000013.RDB,   X:2, Z:-2
B0000010.RDB,   X:2, Z:-1
B0000013.RDB,   X:2, Z:0

Dungeon: The Theodyn Prison
Type: Prison
Total Size: 8
B0000007.RDB,   X:-2, Z:0
B0000002.RDB,   X:-1, Z:-1
W0000021.RDB,   X:-1, Z:0
B0000001.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-1
N0000087.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:0

Dungeon: The Kingham Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000010.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:0

Dungeon: Ruins of Old Ysyna's Place
Type: Prison
Total Size: 13
B0000013.RDB,   X:-1, Z:-2
B0000008.RDB,   X:-1, Z:-1
B0000010.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-3
W0000024.RDB,   X:0, Z:-2
N0000050.RDB,   X:0, Z:-1
N0000089.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-3
N0000069.RDB,   X:1, Z:-2
B0000006.RDB,   X:1, Z:-1
B0000009.RDB,   X:1, Z:0
B0000011.RDB,   X:2, Z:-2

Dungeon: The Coppering Tombs
Type: Forgotten Cemetery
Total Size: 5
B0000000.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-1
M0000001.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:0

Dungeon: The Buckingham Crypts
Type: Forgotten Cemetery
Total Size: 5
B0000002.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
M0000001.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:0

Dungeon: Druvor
Type: Giant Stronghold
Total Size: 10
B0000014.RDB,   X:-1, Z:-1
B0000000.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-2
W0000016.RDB,   X:0, Z:-1
N0000087.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:-2
W0000006.RDB,   X:1, Z:-1
B0000004.RDB,   X:1, Z:0
B0000009.RDB,   X:2, Z:-1

Dungeon: Ruins of The Woodham Farmstead
Type: Natural Cave
Total Size: 12
B0000008.RDB,   X:-1, Z:-1
B0000006.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-2
W0000010.RDB,   X:0, Z:-1
N0000018.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-2
W0000002.RDB,   X:1, Z:-1
N0000036.RDB,   X:1, Z:0
B0000013.RDB,   X:1, Z:1
B0000014.RDB,   X:2, Z:-1
B0000005.RDB,   X:2, Z:0

Dungeon: The Shrine of Maelululla
Type: Desecrated Temple
Total Size: 11
B0000004.RDB,   X:-2, Z:0
B0000002.RDB,   X:-1, Z:-1
N0000087.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000014.RDB,   X:0, Z:-1
W0000021.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:-1
N0000077.RDB,   X:1, Z:0
B0000003.RDB,   X:1, Z:1
B0000011.RDB,   X:2, Z:0

Dungeon: The Crypt of Inverenus
Type: Crypt
Total Size: 10
B0000013.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-1
N0000054.RDB,   X:0, Z:0
N0000034.RDB,   X:0, Z:1
B0000005.RDB,   X:0, Z:2
B0000002.RDB,   X:1, Z:-1
N0000044.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1
B0000004.RDB,   X:2, Z:0

Dungeon: The Moorwing Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000003.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
M0000000.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:0

Dungeon: The Hearthwing Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000010.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
M0000008.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:0

Dungeon: The Tombs of Kinging
Type: Forgotten Cemetery
Total Size: 5
B0000011.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-1
M0000007.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:0

Dungeon: The Marothulla Cavern
Type: Natural Cave
Total Size: 13
B0000007.RDB,   X:-2, Z:-2
B0000008.RDB,   X:-2, Z:-1
B0000002.RDB,   X:-2, Z:0
B0000005.RDB,   X:-1, Z:-3
N0000048.RDB,   X:-1, Z:-2
W0000005.RDB,   X:-1, Z:-1
N0000027.RDB,   X:-1, Z:0
B0000001.RDB,   X:-1, Z:1
B0000007.RDB,   X:0, Z:-2
B0000000.RDB,   X:0, Z:-1
N0000063.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:0

Dungeon: Ruins of Old Morgona's Hovel
Type: Barbarian Stronghold
Total Size: 8
B0000006.RDB,   X:-1, Z:-1
B0000007.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-2
N0000038.RDB,   X:0, Z:-1
W0000004.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:-1
B0000012.RDB,   X:1, Z:0

Dungeon: The Bedard Academy
Type: Laboratory
Total Size: 8
B0000005.RDB,   X:-1, Z:0
B0000005.RDB,   X:-1, Z:1
B0000005.RDB,   X:0, Z:-1
N0000038.RDB,   X:0, Z:0
W0000005.RDB,   X:0, Z:1
B0000008.RDB,   X:0, Z:2
B0000004.RDB,   X:1, Z:0
B0000007.RDB,   X:1, Z:1

Dungeon: Castle Buckinghart
Type: Crypt
Total Size: 10
B0000009.RDB,   X:-1, Z:-1
B0000002.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-2
N0000053.RDB,   X:0, Z:-1
N0000084.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:-2
W0000024.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0
B0000012.RDB,   X:2, Z:-1

Dungeon: Ruins of Old Gwynabyth's Shack
Type: Coven
Total Size: 12
B0000000.RDB,   X:-2, Z:0
B0000012.RDB,   X:-2, Z:1
B0000013.RDB,   X:-1, Z:-1
W0000006.RDB,   X:-1, Z:0
