Region: Alik'r Desert
B0000002.RDB,   X:-1, Z:-1
B0000002.RDB,   X:-1, Z:0
B0000012.RDB,   X:0, Z:-3
W0000027.RDB,   X:0, Z:-2
N0000051.RDB,   X:0, Z:-1
N0000071.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-3
N0000092.RDB,   X:1, Z:-2
B0000009.RDB,   X:1, Z:-1
B0000010.RDB,   X:1, Z:0
B0000010.RDB,   X:2, Z:-2

Dungeon: The Tower of Baesum
Type: Scorpion Nest
Total Size: 8
B0000004.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
N0000091.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:-1
N0000041.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1
B0000002.RDB,   X:2, Z:0

Dungeon: Ruins of Rairgke Hall
Type: Desecrated Temple
Total Size: 12
B0000009.RDB,   X:-1, Z:-1
B0000006.RDB,   X:-1, Z:0
B0000009.RDB,   X:-1, Z:1
B0000003.RDB,   X:0, Z:-2
W0000019.RDB,   X:0, Z:-1
N0000052.RDB,   X:0, Z:0
N0000053.RDB,   X:0, Z:1
B0000013.RDB,   X:0, Z:2
B0000008.RDB,   X:1, Z:-1
N0000031.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1
B0000004.RDB,   X:2, Z:0

Dungeon: Sekbith
Type: Orc Stronghold
Total Size: 8
B0000002.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
N0000017.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-1
N0000035.RDB,   X:1, Z:0
B0000006.RDB,   X:1, Z:1
B0000010.RDB,   X:2, Z:0

Dungeon: Ruins of Old Sles-i's Farm
Type: Scorpion Nest
Total Size: 10
B0000010.RDB,   X:-1, Z:-1
B0000010.RDB,   X:-1, Z:0
B0000002.RDB,   X:0, Z:-2
N0000038.RDB,   X:0, Z:-1
N0000001.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-1
N0000044.RDB,   X:1, Z:0
B0000006.RDB,   X:1, Z:1
B0000003.RDB,   X:2, Z:0

Dungeon: The Rurcur Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000004.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-1
M0000006.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:0

Dungeon: The Vlozir Vaults
Type: Forgotten Cemetery
Total Size: 5
B0000005.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
M0000001.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:0

Dungeon: The Tricerlorog Web
Type: Scorpion Nest
Total Size: 11
B0000009.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-1
W0000006.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-1
N0000056.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1
B0000001.RDB,   X:2, Z:-1
N0000021.RDB,   X:2, Z:0
B0000001.RDB,   X:2, Z:1
B0000013.RDB,   X:3, Z:0

Dungeon: Ruins of The Rlethten Farmstead
Type: Desecrated Temple
Total Size: 8
B0000008.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-1
W0000017.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-1
W0000008.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1
B0000005.RDB,   X:2, Z:0

Dungeon: The Marexulla Manse
Type: Desecrated Temple
Total Size: 13
B0000004.RDB,   X:-1, Z:0
B0000012.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-1
N0000027.RDB,   X:0, Z:0
N0000070.RDB,   X:0, Z:1
B0000010.RDB,   X:0, Z:2
B0000007.RDB,   X:1, Z:0
N0000026.RDB,   X:1, Z:1
B0000000.RDB,   X:1, Z:2
B0000002.RDB,   X:2, Z:0
N0000021.RDB,   X:2, Z:1
B0000004.RDB,   X:2, Z:2
B0000003.RDB,   X:3, Z:1

Dungeon: The Cairn of Balthobam
Type: Crypt
Total Size: 8
B0000005.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
N0000015.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-1
N0000025.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1
B0000008.RDB,   X:2, Z:0

Dungeon: The Sepulcher of Lithehoth
Type: Crypt
Total Size: 12
B0000003.RDB,   X:-2, Z:-1
B0000004.RDB,   X:-2, Z:0
B0000000.RDB,   X:-1, Z:-2
W0000011.RDB,   X:-1, Z:-1
N0000001.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-1
W0000022.RDB,   X:0, Z:0
N0000058.RDB,   X:0, Z:1
B0000014.RDB,   X:0, Z:2
B0000009.RDB,   X:1, Z:0
B0000013.RDB,   X:1, Z:1

Dungeon: THe Crypts of Chort
Type: Forgotten Cemetery
Total Size: 5
B0000014.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
M0000006.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: The Citadel of Kherdar
Type: Desecrated Temple
Total Size: 13
B0000009.RDB,   X:-2, Z:2
B0000013.RDB,   X:-1, Z:0
B0000001.RDB,   X:-1, Z:1
N0000059.RDB,   X:-1, Z:2
B0000009.RDB,   X:-1, Z:3
B0000011.RDB,   X:0, Z:-1
N0000067.RDB,   X:0, Z:0
N0000081.RDB,   X:0, Z:1
N0000020.RDB,   X:0, Z:2
B0000000.RDB,   X:0, Z:3
B0000007.RDB,   X:1, Z:0
B0000007.RDB,   X:1, Z:1
B0000014.RDB,   X:1, Z:2

Dungeon: Tower Dasen
Type: Human Stronghold
Total Size: 8
B0000005.RDB,   X:-1, Z:0
B0000009.RDB,   X:-1, Z:1
B0000008.RDB,   X:0, Z:-1
N0000088.RDB,   X:0, Z:0
W0000025.RDB,   X:0, Z:1
B0000003.RDB,   X:0, Z:2
B0000010.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1

Dungeon: The Flor Pit
Type: Mine
Total Size: 8
B0000013.RDB,   X:-1, Z:0
B0000012.RDB,   X:0, Z:-1
N0000050.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-1
W0000010.RDB,   X:1, Z:0
B0000000.RDB,   X:1, Z:1
B0000009.RDB,   X:2, Z:0

Dungeon: The Maelinxullah Hermitage
Type: Desecrated Temple
Total Size: 12
B0000007.RDB,   X:-3, Z:-1
B0000004.RDB,   X:-2, Z:-2
N0000010.RDB,   X:-2, Z:-1
B0000014.RDB,   X:-2, Z:0
B0000001.RDB,   X:-1, Z:-2
N0000065.RDB,   X:-1, Z:-1
W0000015.RDB,   X:-1, Z:0
B0000008.RDB,   X:-1, Z:1
B0000004.RDB,   X:0, Z:-1
N0000045.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:0

Dungeon: Shallir Tower
Type: Human Stronghold
Total Size: 10
B0000004.RDB,   X:-1, Z:-1
B0000010.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-2
N0000028.RDB,   X:0, Z:-1
N0000090.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:-2
W0000020.RDB,   X:1, Z:-1
B0000002.RDB,   X:1, Z:0
B0000009.RDB,   X:2, Z:-1

Dungeon: Ruins of Rlold'kern Tower
Type: Dragon's Den
Total Size: 8
B0000004.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-1
W0000004.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:-1
N0000006.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1
B0000006.RDB,   X:2, Z:0

Dungeon: The Friary of Geriblither
Type: Desecrated Temple
Total Size: 8
B0000001.RDB,   X:-1, Z:0
B0000007.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-1
W0000018.RDB,   X:0, Z:0
W0000011.RDB,   X:0, Z:1
B0000000.RDB,   X:0, Z:2
B0000005.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1

Dungeon: The Relder Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000000.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-1
M0000005.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: Fhirht'kern Tower
Type: Mine
Total Size: 8
B0000013.RDB,   X:-1, Z:0
B0000010.RDB,   X:-1, Z:1
B0000009.RDB,   X:0, Z:-1
N0000053.RDB,   X:0, Z:0
N0000088.RDB,   X:0, Z:1
B0000002.RDB,   X:0, Z:2
B0000014.RDB,   X:1, Z:0
B0000000.RDB,   X:1, Z:1

Dungeon: Ruins of The Maeshke Farmstead
Type: Scorpion Nest
Total Size: 10
B0000012.RDB,   X:-1, Z:0
B0000007.RDB,   X:-1, Z:1
B0000008.RDB,   X:0, Z:-1
W0000005.RDB,   X:0, Z:0
N0000072.RDB,   X:0, Z:1
B0000001.RDB,   X:0, Z:2
B0000011.RDB,   X:1, Z:0
W0000019.RDB,   X:1, Z:1
B0000014.RDB,   X:1, Z:2
B0000007.RDB,   X:2, Z:1

Dungeon: Ruins of The Barpen Farmstead
Type: Natural Cave
Total Size: 11
B0000005.RDB,   X:-2, Z:0
B0000002.RDB,   X:-1, Z:-1
W0000012.RDB,   X:-1, Z:0
B0000008.RDB,   X:-1, Z:1
B0000014.RDB,   X:0, Z:-1
N0000067.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-1
W0000028.RDB,   X:1, Z:0
B0000005.RDB,   X:1, Z:1
B0000012.RDB,   X:2, Z:0

Dungeon: Ruins of Racher Manor
Type: Human Stronghold
Total Size: 13
B0000005.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-2
B0000003.RDB,   X:0, Z:-1
W0000022.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-3
N0000060.RDB,   X:1, Z:-2
N0000036.RDB,   X:1, Z:-1
W0000001.RDB,   X:1, Z:0
B0000003.RDB,   X:1, Z:1
B0000001.RDB,   X:2, Z:-2
B0000002.RDB,   X:2, Z:-1
B0000013.RDB,   X:2, Z:0

Dungeon: The Birker Graveyard
Type: Cemetery
Total Size: 5
B0000011.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:0

Dungeon: The Lhojin Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000006.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
M0000000.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: Sashthrac
Type: Orc Stronghold
Total Size: 8
B0000013.RDB,   X:-1, Z:0
B0000012.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-1
N0000028.RDB,   X:0, Z:0
N0000045.RDB,   X:0, Z:1
B0000006.RDB,   X:0, Z:2
B0000010.RDB,   X:1, Z:0
B0000002.RDB,   X:1, Z:1

Dungeon: Ruins of The Tosom Plantation
Type: Mine
Total Size: 8
B0000011.RDB,   X:-2, Z:0
B0000002.RDB,   X:-1, Z:-1
W0000009.RDB,   X:-1, Z:0
B0000002.RDB,   X:-1, Z:1
B0000001.RDB,   X:0, Z:-1
W0000005.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:0

Dungeon: The Web of Trogdred
Type: Scorpion Nest
Total Size: 13
B0000014.RDB,   X:-1, Z:0
B0000013.RDB,   X:-1, Z:1
B0000006.RDB,   X:-1, Z:2
B0000006.RDB,   X:0, Z:-1
N0000046.RDB,   X:0, Z:0
W0000009.RDB,   X:0, Z:1
N0000007.RDB,   X:0, Z:2
B0000011.RDB,   X:0, Z:3
B0000003.RDB,   X:1, Z:-1
N0000066.RDB,   X:1, Z:0
B0000008.RDB,   X:1, Z:1
B0000001.RDB,   X:1, Z:2
B0000012.RDB,   X:2, Z:0

Dungeon: Ruins of B'ijur Hall
Type: Scorpion Nest
Total Size: 12
B0000004.RDB,   X:-1, Z:-2
B0000001.RDB,   X:-1, Z:-1
B0000003.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-3
N0000030.RDB,   X:0, Z:-2
N0000040.RDB,   X:0, Z:-1
N0000032.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-2
W0000012.RDB,   X:1, Z:-1
B0000013.RDB,   X:1, Z:0
B0000006.RDB,   X:2, Z:-1

Dungeon: The Kildir Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000002.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-1
M0000006.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:0

Dungeon: Ruins of Maarp Tower
Type: Scorpion Nest
Total Size: 13
B0000012.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
W0000016.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000013.RDB,   X:0, Z:2
B0000013.RDB,   X:1, Z:-1
N0000024.RDB,   X:1, Z:0
W0000000.RDB,   X:1, Z:1
N0000009.RDB,   X:1, Z:2
B0000010.RDB,   X:1, Z:3
B0000000.RDB,   X:2, Z:0
B0000001.RDB,   X:2, Z:1
B0000003.RDB,   X:2, Z:2

Dungeon: Castle Vorg
Type: Ruined Castle
Total Size: 8
B0000006.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
N0000074.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:-1
N0000012.RDB,   X:1, Z:0
B0000000.RDB,   X:1, Z:1
B0000006.RDB,   X:2, Z:0

Dungeon: Ruins of The Vluctten Farmstead
Type: Vampire Haunt
Total Size: 12
B0000011.RDB,   X:-2, Z:0
B0000008.RDB,   X:-2, Z:1
B0000013.RDB,   X:-1, Z:-1
W0000010.RDB,   X:-1, Z:0
W0000025.RDB,   X:-1, Z:1
B0000012.RDB,   X:-1, Z:2
B0000008.RDB,   X:0, Z:-1
N0000087.RDB,   X:0, Z:0
N0000080.RDB,   X:0, Z:1
B0000011.RDB,   X:0, Z:2
B0000000.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1

Dungeon: The Sahuagex Cave
Type: Natural Cave
Total Size: 13
B0000012.RDB,   X:-1, Z:-1
B0000002.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-2
N0000047.RDB,   X:0, Z:-1
N0000048.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-2
W0000019.RDB,   X:1, Z:-1
B0000008.RDB,   X:1, Z:0
B0000009.RDB,   X:2, Z:-2
W0000026.RDB,   X:2, Z:-1
B0000003.RDB,   X:2, Z:0
B0000008.RDB,   X:3, Z:-1

Dungeon: The Stuvam Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000001.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:0

Dungeon: Castle Kog'kern
Type: Scorpion Nest
Total Size: 13
B0000008.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-1
N0000030.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:-1
N0000020.RDB,   X:1, Z:0
B0000007.RDB,   X:1, Z:1
B0000003.RDB,   X:2, Z:-2
N0000073.RDB,   X:2, Z:-1
W0000010.RDB,   X:2, Z:0
B0000001.RDB,   X:2, Z:1
B0000009.RDB,   X:3, Z:-1
B0000001.RDB,   X:3, Z:0

Dungeon: Castle Shurgrn
Type: Mine
Total Size: 8
B0000004.RDB,   X:-1, Z:0
B0000008.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-1
N0000069.RDB,   X:0, Z:0
N0000044.RDB,   X:0, Z:1
B0000008.RDB,   X:0, Z:2
B0000002.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1

Dungeon: Anthor's Web
Type: Scorpion Nest
Total Size: 8
B0000012.RDB,   X:-1, Z:0
B0000002.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-1
W0000022.RDB,   X:0, Z:0
N0000091.RDB,   X:0, Z:1
B0000012.RDB,   X:0, Z:2
B0000010.RDB,   X:1, Z:0
B0000002.RDB,   X:1, Z:1

Dungeon: The Hold of Slachke
Type: Prison
Total Size: 13
B0000003.RDB,   X:-3, Z:0
B0000008.RDB,   X:-2, Z:-1
N0000044.RDB,   X:-2, Z:0
B0000002.RDB,   X:-2, Z:1
B0000011.RDB,   X:-1, Z:-1
N0000028.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-1
N0000020.RDB,   X:0, Z:0
N0000001.RDB,   X:0, Z:1
B0000002.RDB,   X:0, Z:2
B0000007.RDB,   X:1, Z:0
B0000002.RDB,   X:1, Z:1

Dungeon: Ruins of The Tower of Rlortrn
Type: Natural Cave
Total Size: 10
B0000013.RDB,   X:-2, Z:0
B0000008.RDB,   X:-1, Z:-1
N0000024.RDB,   X:-1, Z:0
B0000001.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-2
W0000006.RDB,   X:0, Z:-1
N0000021.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-1
B0000000.RDB,   X:1, Z:0

Dungeon: The Nhurche Tunnel
Type: Mine
Total Size: 13
B0000003.RDB,   X:-1, Z:0
B0000002.RDB,   X:-1, Z:1
B0000004.RDB,   X:0, Z:-1
