Region: Mournoth

Dungeon: Ruins of The Klolpum Farmstead
Type: Laboratory
B0000010.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000007.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: The Community of Vezca
Type: Barbarian Stronghold
Total Size: 12
B0000003.RDB,   X:-1, Z:-1
B0000008.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-2
N0000059.RDB,   X:0, Z:-1
N0000056.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:-3
W0000017.RDB,   X:1, Z:-2
W0000020.RDB,   X:1, Z:-1
B0000002.RDB,   X:1, Z:0
B0000003.RDB,   X:2, Z:-2
B0000012.RDB,   X:2, Z:-1

Dungeon: Ruins of D'ech Manor
Type: Giant Stronghold
Total Size: 10
B0000000.RDB,   X:-2, Z:1
B0000002.RDB,   X:-1, Z:0
N0000035.RDB,   X:-1, Z:1
B0000013.RDB,   X:-1, Z:2
B0000000.RDB,   X:0, Z:-1
W0000015.RDB,   X:0, Z:0
W0000025.RDB,   X:0, Z:1
B0000012.RDB,   X:0, Z:2
B0000003.RDB,   X:1, Z:0
B0000005.RDB,   X:1, Z:1

Dungeon: The Citadel of Maeshan
Type: Laboratory
Total Size: 13
B0000001.RDB,   X:-1, Z:0
B0000001.RDB,   X:-1, Z:1
B0000003.RDB,   X:-1, Z:2
B0000010.RDB,   X:0, Z:-1
N0000086.RDB,   X:0, Z:0
N0000008.RDB,   X:0, Z:1
W0000013.RDB,   X:0, Z:2
B0000001.RDB,   X:0, Z:3
B0000011.RDB,   X:1, Z:-1
N0000076.RDB,   X:1, Z:0
B0000011.RDB,   X:1, Z:1
B0000006.RDB,   X:1, Z:2
B0000013.RDB,   X:2, Z:0

Dungeon: The House of Duke Baranezzar
Type: Vampire Haunt
Total Size: 8
B0000000.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
N0000062.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-1
W0000006.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1
B0000012.RDB,   X:2, Z:0

Dungeon: The Circle of Krercja
Type: Barbarian Stronghold
Total Size: 8
B0000008.RDB,   X:-2, Z:0
B0000007.RDB,   X:-1, Z:-1
N0000071.RDB,   X:-1, Z:0
B0000014.RDB,   X:-1, Z:1
B0000014.RDB,   X:0, Z:-1
N0000058.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:0

Dungeon: Ruins of Mhallir Grange
Type: Prison
Total Size: 12
B0000012.RDB,   X:-2, Z:1
B0000000.RDB,   X:-1, Z:0
N0000063.RDB,   X:-1, Z:1
B0000013.RDB,   X:-1, Z:2
B0000001.RDB,   X:0, Z:-1
N0000059.RDB,   X:0, Z:0
N0000076.RDB,   X:0, Z:1
B0000002.RDB,   X:0, Z:2
B0000007.RDB,   X:1, Z:0
W0000013.RDB,   X:1, Z:1
B0000008.RDB,   X:1, Z:2
B0000012.RDB,   X:2, Z:1

Dungeon: Rurmta's Guard
Type: Ruined Castle
Total Size: 11
B0000009.RDB,   X:-1, Z:0
B0000005.RDB,   X:-1, Z:1
B0000002.RDB,   X:-1, Z:2
B0000003.RDB,   X:0, Z:-1
N0000060.RDB,   X:0, Z:0
N0000089.RDB,   X:0, Z:1
N0000010.RDB,   X:0, Z:2
B0000006.RDB,   X:0, Z:3
B0000014.RDB,   X:1, Z:0
B0000010.RDB,   X:1, Z:1
B0000004.RDB,   X:1, Z:2

Dungeon: The Nest of Vojker
Type: Scorpion Nest
Total Size: 8
B0000005.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000012.RDB,   X:0, Z:-1
N0000076.RDB,   X:0, Z:0
N0000005.RDB,   X:0, Z:1
B0000013.RDB,   X:0, Z:2
B0000009.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1

Dungeon: The Klightrn Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000007.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
M0000001.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:0

Dungeon: The Fhurt-e Assembly
Type: Barbarian Stronghold
Total Size: 8
B0000008.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
N0000073.RDB,   X:0, Z:0
B0000005.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:-1
W0000009.RDB,   X:1, Z:0
B0000014.RDB,   X:1, Z:1
B0000008.RDB,   X:2, Z:0

Dungeon: The Fortress of Raurht
Type: Orc Stronghold
Total Size: 8
B0000001.RDB,   X:-2, Z:0
B0000012.RDB,   X:-1, Z:-1
N0000000.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000005.RDB,   X:0, Z:-1
N0000039.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000001.RDB,   X:1, Z:0

Dungeon: The Khightar Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000003.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
M0000002.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:0

Dungeon: The Hold of Lujten
Type: Prison
Total Size: 8
B0000014.RDB,   X:-2, Z:0
B0000006.RDB,   X:-1, Z:-1
N0000042.RDB,   X:-1, Z:0
B0000005.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-1
N0000032.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:0

Dungeon: Ruins of Nhestur Hall
Type: Crypt
Total Size: 8
B0000003.RDB,   X:-1, Z:0
B0000003.RDB,   X:-1, Z:1
B0000007.RDB,   X:0, Z:-1
N0000034.RDB,   X:0, Z:0
W0000004.RDB,   X:0, Z:1
B0000001.RDB,   X:0, Z:2
B0000008.RDB,   X:1, Z:0
B0000009.RDB,   X:1, Z:1

Dungeon: The Citadel of Lherchen
Type: Ruined Castle
Total Size: 10
B0000006.RDB,   X:-2, Z:-1
B0000001.RDB,   X:-2, Z:0
B0000013.RDB,   X:-1, Z:-2
N0000051.RDB,   X:-1, Z:-1
N0000070.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000010.RDB,   X:0, Z:-1
N0000024.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:0

Dungeon: Castle Salpur
Type: Scorpion Nest
Total Size: 8
B0000001.RDB,   X:-2, Z:0
B0000005.RDB,   X:-1, Z:-1
N0000037.RDB,   X:-1, Z:0
B0000007.RDB,   X:-1, Z:1
B0000008.RDB,   X:0, Z:-1
N0000033.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:0

Dungeon: Castle Corroboth
Type: Vampire Haunt
Total Size: 10
B0000006.RDB,   X:-1, Z:0
B0000009.RDB,   X:-1, Z:1
B0000000.RDB,   X:0, Z:-1
N0000035.RDB,   X:0, Z:0
N0000078.RDB,   X:0, Z:1
B0000006.RDB,   X:0, Z:2
B0000008.RDB,   X:1, Z:-1
W0000028.RDB,   X:1, Z:0
B0000002.RDB,   X:1, Z:1
B0000005.RDB,   X:2, Z:0

Dungeon: The Dhell'kern Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000008.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000011.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: The Shrurta Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000000.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
M0000001.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:0

Dungeon: Ruins of Old Rhis-si's Farm
Type: Barbarian Stronghold
Total Size: 13
B0000013.RDB,   X:-2, Z:-1
B0000009.RDB,   X:-1, Z:-2
W0000007.RDB,   X:-1, Z:-1
B0000010.RDB,   X:-1, Z:0
B0000011.RDB,   X:-1, Z:1
B0000012.RDB,   X:0, Z:-2
W0000009.RDB,   X:0, Z:-1
N0000003.RDB,   X:0, Z:0
W0000012.RDB,   X:0, Z:1
B0000012.RDB,   X:0, Z:2
B0000009.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0
B0000006.RDB,   X:1, Z:1

Dungeon: The Stronghold of Tisom
Type: Crypt
Total Size: 8
B0000008.RDB,   X:-1, Z:0
B0000006.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-1
N0000044.RDB,   X:0, Z:0
N0000073.RDB,   X:0, Z:1
B0000004.RDB,   X:0, Z:2
B0000013.RDB,   X:1, Z:0
B0000007.RDB,   X:1, Z:1

Dungeon: The Web of Vermten
Type: Scorpion Nest
Total Size: 12
B0000012.RDB,   X:-2, Z:-1
B0000004.RDB,   X:-2, Z:0
B0000010.RDB,   X:-1, Z:-2
W0000016.RDB,   X:-1, Z:-1
N0000036.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000007.RDB,   X:0, Z:-2
W0000002.RDB,   X:0, Z:-1
W0000012.RDB,   X:0, Z:0
B0000000.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-1
B0000010.RDB,   X:1, Z:0

Dungeon: The Glactim Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000002.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000000.RDB,   X:1, Z:0

Dungeon: The Fhiz Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000007.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
M0000007.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: The Crypt of Balthivaror
Type: Crypt
Total Size: 14
B0000008.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
W0000005.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-1
W0000008.RDB,   X:1, Z:0
B0000000.RDB,   X:1, Z:1
B0000007.RDB,   X:2, Z:-1
N0000044.RDB,   X:2, Z:0
B0000014.RDB,   X:2, Z:1
B0000001.RDB,   X:3, Z:-1
N0000002.RDB,   X:3, Z:0
B0000013.RDB,   X:3, Z:1
B0000009.RDB,   X:4, Z:0

Dungeon: The Dispiamithivah Shrine
Type: Desecrated Temple
Total Size: 8
B0000012.RDB,   X:-2, Z:0
B0000011.RDB,   X:-1, Z:-1
N0000034.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-1
W0000016.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: The Sollem Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000010.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:0

Dungeon: Castle D'elpar
Type: Desecrated Temple
Total Size: 8
B0000009.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
N0000061.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:-1
W0000025.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1
B0000001.RDB,   X:2, Z:0

Dungeon: The Caelder Tombs
Type: Forgotten Cemetery
Total Size: 5
B0000002.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-1
M0000000.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:0

Dungeon: The Forkir Tombs
Type: Forgotten Cemetery
Total Size: 5
B0000001.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000001.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:0

Dungeon: Castle Krovem
Type: Laboratory
Total Size: 8
B0000003.RDB,   X:-1, Z:-1
B0000009.RDB,   X:-1, Z:0
B0000010.RDB,   X:0, Z:-2
N0000042.RDB,   X:0, Z:-1
W0000023.RDB,   X:0, Z:0
B0000014.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:-1
B0000009.RDB,   X:1, Z:0

Dungeon: The Conclave of Gherk-i
Type: Barbarian Stronghold
Total Size: 12
B0000006.RDB,   X:-2, Z:-2
B0000006.RDB,   X:-2, Z:-1
B0000004.RDB,   X:-1, Z:-3
W0000002.RDB,   X:-1, Z:-2
N0000004.RDB,   X:-1, Z:-1
B0000011.RDB,   X:-1, Z:0
B0000011.RDB,   X:0, Z:-2
N0000008.RDB,   X:0, Z:-1
N0000052.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:-1
B0000009.RDB,   X:1, Z:0

Dungeon: The Krezer Cemetery
Type: Forgotten Cemetery
Total Size: 5
B0000014.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:0

Dungeon: The Rheron Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000008.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
M0000000.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:0

Dungeon: F'iv'kern Tower
Type: Laboratory
Total Size: 10
B0000010.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
N0000086.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000005.RDB,   X:1, Z:-2
N0000000.RDB,   X:1, Z:-1
W0000029.RDB,   X:1, Z:0
B0000012.RDB,   X:1, Z:1
B0000000.RDB,   X:2, Z:-1
B0000000.RDB,   X:2, Z:0

Dungeon: The Crypt of Inverogham
Type: Crypt
Total Size: 8
B0000007.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000002.RDB,   X:0, Z:-1
N0000046.RDB,   X:0, Z:0
W0000027.RDB,   X:0, Z:1
B0000011.RDB,   X:0, Z:2
B0000002.RDB,   X:1, Z:0
B0000005.RDB,   X:1, Z:1

Dungeon: Ruins of Blirg Orchard
Type: Human Stronghold
Total Size: 13
B0000014.RDB,   X:-1, Z:0
B0000000.RDB,   X:0, Z:-1
N0000084.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000008.RDB,   X:1, Z:-1
W0000019.RDB,   X:1, Z:0
B0000008.RDB,   X:1, Z:1
B0000013.RDB,   X:2, Z:-1
N0000044.RDB,   X:2, Z:0
N0000056.RDB,   X:2, Z:1
B0000010.RDB,   X:2, Z:2
B0000014.RDB,   X:3, Z:0
B0000006.RDB,   X:3, Z:1

Dungeon: The Kragten Graveyard
Type: Cemetery
Total Size: 5
B0000011.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-1
M0000002.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000012.RDB,   X:1, Z:0

Dungeon: The M'ojum Vaults
Type: Forgotten Cemetery
Total Size: 5
B0000008.RDB,   X:-1, Z:0
B0000014.RDB,   X:0, Z:-1
M0000006.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: The Fortress of Dhillum
Type: Crypt
Total Size: 10
B0000013.RDB,   X:-2, Z:0
B0000012.RDB,   X:-1, Z:-1
N0000009.RDB,   X:-1, Z:0
B0000008.RDB,   X:-1, Z:1
B0000006.RDB,   X:0, Z:-2
N0000049.RDB,   X:0, Z:-1
W0000003.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000011.RDB,   X:1, Z:-1
B0000003.RDB,   X:1, Z:0

Dungeon: The Tower of Cyugt
Type: Scorpion Nest
Total Size: 10
B0000003.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000011.RDB,   X:0, Z:-1
N0000047.RDB,   X:0, Z:0
W0000024.RDB,   X:0, Z:1
B0000004.RDB,   X:0, Z:2
B0000011.RDB,   X:1, Z:0
N0000067.RDB,   X:1, Z:1
B0000006.RDB,   X:1, Z:2
B0000004.RDB,   X:2, Z:1

Dungeon: Morotghu
Type: Giant Stronghold
Total Size: 12
B0000006.RDB,   X:-1, Z:-1
B0000013.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-2
N0000012.RDB,   X:0, Z:-1
N0000050.RDB,   X:0, Z:0
B0000004.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:-3
N0000086.RDB,   X:1, Z:-2
N0000045.RDB,   X:1, Z:-1
B0000011.RDB,   X:1, Z:0
B0000012.RDB,   X:2, Z:-2
B0000005.RDB,   X:2, Z:-1

Dungeon: Azrirock
Type: Giant Stronghold
Total Size: 12
B0000003.RDB,   X:-2, Z:0
B0000011.RDB,   X:-2, Z:1
B0000012.RDB,   X:-1, Z:-1
N0000018.RDB,   X:-1, Z:0
W0000007.RDB,   X:-1, Z:1
B0000009.RDB,   X:-1, Z:2
B0000002.RDB,   X:0, Z:-2
W0000015.RDB,   X:0, Z:-1
N0000013.RDB,   X:0, Z:0
B0000012.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-1
B0000004.RDB,   X:1, Z:0

Dungeon: Gerorgonuna Minster
Type: Desecrated Temple
Total Size: 8
B0000002.RDB,   X:-1, Z:-1
B0000000.RDB,   X:-1, Z:0
B0000003.RDB,   X:0, Z:-2
N0000041.RDB,   X:0, Z:-1
W0000027.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:-1
B0000012.RDB,   X:1, Z:0

Dungeon: The Hold of T'ashar
Type: Ruined Castle
Total Size: 13
B0000012.RDB,   X:-1, Z:0
B0000010.RDB,   X:-1, Z:1
B0000013.RDB,   X:0, Z:-1
N0000063.RDB,   X:0, Z:0
N0000056.RDB,   X:0, Z:1
B0000006.RDB,   X:0, Z:2
B0000014.RDB,   X:1, Z:-1
N0000024.RDB,   X:1, Z:0
B0000011.RDB,   X:1, Z:1
B0000013.RDB,   X:2, Z:-1
N0000016.RDB,   X:2, Z:0
B0000003.RDB,   X:2, Z:1
B0000001.RDB,   X:3, Z:0

Dungeon: THe Crypts of B'usht
Type: Forgotten Cemetery
Total Size: 5
B0000013.RDB,   X:-1, Z:0
B0000006.RDB,   X:0, Z:-1
M0000007.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:0

Dungeon: Ruins of The Saoght Cabin
Type: Scorpion Nest
Total Size: 8
B0000013.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-1
N0000088.RDB,   X:0, Z:0
B0000013.RDB,   X:0, Z:1
B0000003.RDB,   X:1, Z:-1
N0000075.RDB,   X:1, Z:0
B0000013.RDB,   X:1, Z:1
B0000010.RDB,   X:2, Z:0

Dungeon: The Vault of Magnehoth
Type: Crypt
Total Size: 12
B0000000.RDB,   X:-2, Z:0
B0000012.RDB,   X:-2, Z:1
B0000011.RDB,   X:-1, Z:-1
W0000002.RDB,   X:-1, Z:0
N0000091.RDB,   X:-1, Z:1
B0000007.RDB,   X:-1, Z:2
B0000004.RDB,   X:0, Z:-2
N0000039.RDB,   X:0, Z:-1
W0000012.RDB,   X:0, Z:0
B0000008.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0

Dungeon: The Grevrn Pit
Type: Mine
Total Size: 10
B0000013.RDB,   X:-1, Z:0
B0000000.RDB,   X:-1, Z:1
B0000004.RDB,   X:0, Z:-1
N0000003.RDB,   X:0, Z:0
W0000019.RDB,   X:0, Z:1
B0000004.RDB,   X:0, Z:2
B0000002.RDB,   X:1, Z:0
N0000080.RDB,   X:1, Z:1
B0000004.RDB,   X:1, Z:2
B0000010.RDB,   X:2, Z:1

Dungeon: Balthimus's Tomb
Type: Crypt
Total Size: 12
B0000013.RDB,   X:-1, Z:-1
B0000011.RDB,   X:-1, Z:0
B0000008.RDB,   X:0, Z:-2
N0000039.RDB,   X:0, Z:-1
N0000033.RDB,   X:0, Z:0
B0000006.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:-3
N0000055.RDB,   X:1, Z:-2
W0000024.RDB,   X:1, Z:-1
B0000014.RDB,   X:1, Z:0
B0000006.RDB,   X:2, Z:-2
B0000000.RDB,   X:2, Z:-1

Dungeon: The Laboratory of Rhughte
Type: Laboratory
Total Size: 10
B0000013.RDB,   X:-1, Z:0
B0000007.RDB,   X:0, Z:-1
W0000008.RDB,   X:0, Z:0
B0000010.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:-2
W0000003.RDB,   X:1, Z:-1
W0000009.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1
B0000010.RDB,   X:2, Z:-1
B0000007.RDB,   X:2, Z:0

Dungeon: Yagloth
Type: Orc Stronghold
Total Size: 10
B0000009.RDB,   X:-2, Z:0
B0000006.RDB,   X:-1, Z:-1
N0000055.RDB,   X:-1, Z:0
B0000013.RDB,   X:-1, Z:1
B0000007.RDB,   X:0, Z:-1
N0000013.RDB,   X:0, Z:0
N0000010.RDB,   X:0, Z:1
B0000003.RDB,   X:0, Z:2
B0000005.RDB,   X:1, Z:0
B0000004.RDB,   X:1, Z:1

Dungeon: The Klirgar Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000014.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
M0000004.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000009.RDB,   X:1, Z:0

Dungeon: The Dhact'kern Graveyard
Type: Cemetery
Total Size: 5
B0000008.RDB,   X:-1, Z:0
B0000009.RDB,   X:0, Z:-1
M0000002.RDB,   X:0, Z:0
B0000009.RDB,   X:0, Z:1
B0000007.RDB,   X:1, Z:0

Dungeon: The B'asur Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000002.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-1
M0000007.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000014.RDB,   X:1, Z:0

Dungeon: Disper Hollow
Type: Natural Cave
Total Size: 11
B0000006.RDB,   X:-2, Z:0
B0000004.RDB,   X:-1, Z:-1
N0000053.RDB,   X:-1, Z:0
B0000012.RDB,   X:-1, Z:1
B0000005.RDB,   X:0, Z:-1
W0000028.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000004.RDB,   X:1, Z:-1
N0000035.RDB,   X:1, Z:0
B0000001.RDB,   X:1, Z:1
B0000013.RDB,   X:2, Z:0

Dungeon: Cerhton's Guard
Type: Prison
Total Size: 10
B0000007.RDB,   X:-2, Z:0
B0000008.RDB,   X:-2, Z:1
B0000009.RDB,   X:-1, Z:-1
N0000071.RDB,   X:-1, Z:0
W0000004.RDB,   X:-1, Z:1
B0000004.RDB,   X:-1, Z:2
B0000005.RDB,   X:0, Z:-1
N0000002.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000013.RDB,   X:1, Z:0

Dungeon: Castle Shrugir
Type: Human Stronghold
Total Size: 12
B0000002.RDB,   X:-1, Z:0
B0000009.RDB,   X:-1, Z:1
B0000008.RDB,   X:0, Z:-1
N0000026.RDB,   X:0, Z:0
N0000004.RDB,   X:0, Z:1
B0000013.RDB,   X:0, Z:2
B0000010.RDB,   X:1, Z:-2
N0000051.RDB,   X:1, Z:-1
N0000016.RDB,   X:1, Z:0
B0000008.RDB,   X:1, Z:1
B0000007.RDB,   X:2, Z:-1
B0000008.RDB,   X:2, Z:0

Dungeon: The Boazur Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000005.RDB,   X:-1, Z:0
B0000005.RDB,   X:0, Z:-1
M0000008.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:0

Dungeon: The Cult of Fhisga
Type: Coven
Total Size: 12
B0000014.RDB,   X:-2, Z:-1
B0000001.RDB,   X:-1, Z:-2
N0000002.RDB,   X:-1, Z:-1
B0000011.RDB,   X:-1, Z:0
B0000001.RDB,   X:0, Z:-3
N0000057.RDB,   X:0, Z:-2
W0000024.RDB,   X:0, Z:-1
N0000019.RDB,   X:0, Z:0
B0000011.RDB,   X:0, Z:1
B0000002.RDB,   X:1, Z:-2
B0000004.RDB,   X:1, Z:-1
B0000009.RDB,   X:1, Z:0

Dungeon: The Graves of Kugim
Type: Forgotten Cemetery
Total Size: 5
B0000013.RDB,   X:-1, Z:0
B0000013.RDB,   X:0, Z:-1
M0000003.RDB,   X:0, Z:0
B0000003.RDB,   X:0, Z:1
B0000006.RDB,   X:1, Z:0

Dungeon: The D'orur Graveyard
Type: Forgotten Cemetery
Total Size: 5
B0000009.RDB,   X:-1, Z:0
B0000004.RDB,   X:0, Z:-1
M0000006.RDB,   X:0, Z:0
B0000002.RDB,   X:0, Z:1
B0000010.RDB,   X:1, Z:0

Dungeon: The Graves of Burch
